id,user_id,post_id,like
1,0,2,-1
2,0,16,-1
3,0,15,1
4,0,18,-1
5,0,6,-1
6,0,10,1
7,0,7,-1
8,0,13,-1
9,0,5,1
10,0,9,1
11,0,8,1
12,0,4,1
13,0,19,-1
14,0,12,1
15,0,11,1
16,0,1,-1
17,0,17,1
18,0,14,-1
19,0,3,1
20,1,20,-1
21,1,18,1
22,1,9,1
23,1,10,1
24,1,13,-1
25,1,17,-1
26,1,19,-1
27,1,6,1
28,1,8,1
29,1,12,1
30,1,5,1
31,1,4,1
32,1,2,1
33,1,14,1
34,1,7,-1
35,1,11,-1
36,2,1,1
37,2,13,1
38,2,16,-1
39,2,14,1
40,2,7,1
41,2,2,1
42,2,5,1
43,2,19,1
44,2,4,1
45,2,9,-1
46,2,12,-1
47,2,17,-1
48,2,8,-1
49,3,2,-1
50,3,6,-1
51,3,16,1
52,3,15,1
53,3,4,-1
54,3,9,1
55,3,7,1
56,3,8,-1
57,3,17,-1
58,3,13,1
59,3,5,-1
60,3,14,1
61,4,20,1
62,4,2,-1
63,4,4,1
64,5,2,-1
65,5,16,1
66,5,12,-1
67,5,15,1
68,5,3,-1
69,5,6,-1
70,5,10,1
71,5,8,-1
72,5,4,1
73,5,7,1
74,5,18,1
75,5,14,-1
76,5,9,1
77,5,17,-1
78,5,11,-1
79,5,5,-1
80,6,4,1
81,6,18,1
82,6,3,1
83,6,2,-1
84,6,13,1
85,6,14,-1
86,6,9,1
87,6,19,-1
88,6,12,1
89,6,16,1
90,6,6,1
91,6,7,1
92,6,17,1
93,6,10,-1
94,6,20,-1
95,6,1,-1
96,6,11,1
97,7,6,-1
98,7,4,1
99,7,1,-1
100,7,14,1
101,7,9,-1
102,7,18,1
103,7,19,1
104,8,15,-1
105,8,12,-1
106,8,8,1
107,8,18,1
108,8,3,-1
109,8,17,-1
110,8,9,1
111,8,14,1
112,8,20,1
113,8,10,1
114,8,7,1
115,8,6,1
116,8,2,1
117,8,16,1
118,8,11,1
119,8,5,-1
120,8,1,-1
121,8,13,-1
122,9,10,1
123,9,6,-1
124,9,17,-1
125,9,5,-1
126,9,20,-1
127,9,4,-1
128,9,15,-1
129,9,13,1
130,9,1,1
131,9,12,1
132,9,3,1
133,9,11,-1
134,9,14,1
135,9,16,-1
136,9,18,1
137,9,2,-1
138,9,8,-1
139,9,9,-1
140,9,7,-1
141,10,15,1
142,10,5,1
143,10,19,-1
144,11,19,-1
145,11,3,1
146,11,15,-1
147,11,17,1
148,11,7,1
149,11,4,-1
150,11,20,1
151,11,11,-1
152,11,2,-1
153,11,5,1
154,11,8,-1
155,11,12,-1
156,11,9,1
157,12,20,-1
158,12,2,-1
159,12,15,1
160,12,14,-1
161,12,19,-1
162,12,1,1
163,12,5,1
164,12,8,-1
165,12,16,1
166,12,3,-1
167,12,9,1
168,12,11,-1
169,12,7,1
170,12,12,1
171,12,4,1
172,12,10,-1
173,13,11,1
174,13,5,1
175,13,9,-1
176,13,7,-1
177,14,14,-1
178,14,2,-1
179,14,12,-1
180,14,16,1
181,14,11,-1
182,14,17,1
183,14,18,1
184,14,20,1
185,14,15,-1
186,14,1,1
187,14,10,1
188,14,19,1
189,14,3,1
190,15,19,1
191,15,6,-1
192,15,17,1
193,15,1,1
194,15,7,1
195,15,9,1
196,15,2,-1
197,15,13,-1
198,15,18,-1
199,15,16,-1
200,16,3,1
201,16,14,1
202,16,18,-1
203,16,10,1
204,16,20,-1
205,16,15,-1
206,16,12,-1
207,16,2,-1
208,16,4,1
209,16,17,1
210,17,4,1
211,18,20,-1
212,18,5,1
213,18,15,-1
214,18,11,1
215,19,12,-1
216,19,4,1
217,19,1,1
218,19,17,1
219,19,14,1
220,19,8,-1
221,19,18,1
222,19,10,1
223,19,5,-1
224,19,6,1
225,19,19,-1
226,20,16,-1
227,20,7,-1
228,20,9,-1
229,20,4,-1
230,20,12,-1
231,20,3,-1
232,20,15,-1
233,20,1,1
234,21,4,-1
235,21,6,-1
236,21,18,1
237,21,9,1
238,21,17,-1
239,21,20,-1
240,22,1,-1
241,22,4,1
242,22,5,1
243,22,13,-1
244,22,3,-1
245,22,19,1
246,22,20,-1
247,22,12,1
248,22,8,1
249,22,7,-1
250,22,2,1
251,22,16,-1
252,22,15,-1
253,22,6,1
254,22,18,-1
255,22,11,-1
256,22,10,-1
257,22,9,-1
258,22,17,-1
259,23,16,-1
260,23,7,-1
261,23,14,-1
262,23,4,-1
263,23,20,-1
264,23,17,-1
265,23,10,1
266,23,5,1
267,24,20,-1
268,24,1,-1
269,24,13,-1
270,24,4,1
271,24,7,-1
272,24,10,-1
273,24,14,-1
274,24,9,-1
275,24,19,-1
276,25,19,1
277,25,8,-1
278,25,13,1
279,25,14,-1
280,25,5,1
281,26,14,1
282,26,4,-1
283,26,20,1
284,26,8,1
285,26,1,1
286,26,3,1
287,26,10,-1
288,26,5,1
289,26,7,1
290,26,18,-1
291,26,11,1
292,26,16,-1
293,26,15,-1
294,26,12,1
295,26,17,-1
296,26,19,-1
297,26,9,1
298,26,6,-1
299,26,13,-1
300,26,2,1
301,27,17,-1
302,27,20,1
303,27,14,1
304,27,11,1
305,27,2,1
306,27,5,-1
307,28,12,1
308,28,5,-1
309,28,20,-1
310,28,15,1
311,28,8,1
312,28,16,1
313,28,14,-1
314,28,6,1
315,28,17,1
316,28,10,1
317,28,9,1
318,28,1,-1
319,28,3,1
320,28,4,1
321,28,13,-1
322,28,19,-1
323,28,7,-1
324,28,2,-1
325,28,18,1
326,28,11,1
327,29,5,-1
328,29,9,-1
329,29,10,1
330,29,4,1
331,29,14,-1
332,29,20,1
333,29,6,1
334,29,11,1
335,29,18,-1
336,30,20,-1
337,30,15,1
338,31,11,-1
339,31,16,-1
340,31,12,1
341,31,4,1
342,31,5,1
343,31,18,1
344,31,10,-1
345,31,14,-1
346,31,19,1
347,31,9,-1
348,31,17,1
349,31,2,-1
350,31,7,-1
351,31,1,-1
352,32,10,1
353,32,20,-1
354,32,16,1
355,32,8,-1
356,32,11,-1
357,32,14,-1
358,32,2,1
359,32,17,-1
360,32,18,1
361,32,13,1
362,32,7,-1
363,32,19,1
364,32,6,1
365,32,12,-1
366,33,4,1
367,33,17,1
368,33,16,-1
369,33,5,1
370,33,2,-1
371,33,1,-1
372,33,8,-1
373,33,9,-1
374,33,19,-1
375,33,7,1
376,33,6,-1
377,33,12,-1
378,34,14,-1
379,35,2,1
380,35,10,-1
381,35,4,1
382,36,15,-1
383,36,13,1
384,36,4,1
385,36,9,-1
386,36,1,-1
387,36,20,1
388,36,10,1
389,36,8,-1
390,36,18,-1
391,36,7,1
392,36,6,-1
393,37,7,-1
394,37,20,-1
395,37,16,1
396,37,11,-1
397,37,8,-1
398,37,9,1
399,37,13,-1
400,37,19,-1
401,37,14,1
402,37,2,-1
403,37,12,1
404,37,4,-1
405,37,3,1
406,37,17,-1
407,37,1,1
408,37,18,-1
409,37,10,1
410,37,5,1
411,37,15,1
412,38,2,1
413,38,8,1
414,38,10,1
415,38,1,-1
416,38,9,-1
417,38,4,-1
418,38,18,-1
419,38,17,1
420,38,16,1
421,38,5,1
422,38,11,-1
423,39,18,1
424,39,4,-1
425,39,6,1
426,39,16,1
427,40,17,1
428,40,2,-1
429,40,11,1
430,40,12,-1
431,40,14,-1
432,40,9,1
433,40,10,-1
434,40,5,-1
435,40,16,-1
436,40,7,-1
437,40,18,1
438,40,15,-1
439,40,8,-1
440,40,4,1
441,40,1,1
442,40,6,1
443,41,19,-1
444,41,13,1
445,41,5,-1
446,41,3,1
447,41,11,1
448,41,9,1
449,41,7,1
450,41,14,-1
451,41,20,-1
452,41,10,1
453,41,6,-1
454,41,18,1
455,41,8,-1
456,41,16,1
457,41,2,-1
458,41,4,1
459,41,17,1
460,41,15,-1
461,42,12,1
462,42,4,-1
463,42,10,-1
464,42,9,1
465,42,18,-1
466,42,17,1
467,42,20,1
468,42,11,-1
469,42,7,1
470,42,13,-1
471,42,8,1
472,42,1,1
473,42,2,1
474,42,15,1
475,43,13,1
476,43,3,-1
477,43,14,-1
478,43,16,-1
479,43,1,-1
480,43,8,1
481,43,10,-1
482,43,19,-1
483,43,18,-1
484,43,17,1
485,43,9,1
486,43,11,-1
487,44,3,1
488,44,11,-1
489,44,9,1
490,44,13,-1
491,44,10,1
492,45,7,-1
493,45,10,1
494,45,4,1
495,45,16,-1
496,45,14,1
497,45,2,-1
498,45,15,1
499,45,8,-1
500,45,1,-1
501,45,6,1
502,45,3,-1
503,45,20,-1
504,45,18,-1
505,45,11,-1
506,46,9,-1
507,46,4,1
508,46,13,1
509,46,11,-1
510,46,12,1
511,46,19,1
512,46,18,-1
513,46,20,1
514,46,7,1
515,46,17,-1
516,46,2,-1
517,46,1,1
518,46,16,-1
519,46,10,1
520,46,6,-1
521,46,3,1
522,46,8,-1
523,46,14,-1
524,46,5,1
525,46,15,-1
526,47,16,-1
527,47,17,1
528,47,8,-1
529,47,4,-1
530,47,3,-1
531,47,14,1
532,47,13,-1
533,48,5,-1
534,48,20,1
535,49,4,1
536,49,7,-1
537,49,5,-1
538,49,3,-1
539,49,10,-1
540,49,14,1
541,49,18,1
542,49,20,-1
543,50,6,1
544,50,17,1
545,50,7,1
546,50,3,1
547,50,16,-1
548,50,4,-1
549,50,14,1
550,50,12,1
551,50,15,-1
552,50,11,-1
553,50,20,-1
554,50,10,-1
555,50,2,-1
556,50,9,-1
557,50,13,-1
558,50,19,1
559,50,5,1
560,50,8,-1
561,50,18,1
562,51,6,-1
563,51,5,1
564,51,18,-1
565,51,7,-1
566,51,2,1
567,51,8,1
568,51,4,-1
569,51,14,-1
570,51,15,-1
571,52,17,-1
572,52,18,1
573,52,3,-1
574,52,13,1
575,52,2,-1
576,52,9,-1
577,52,6,1
578,52,5,-1
579,52,4,-1
580,52,15,1
581,52,8,-1
582,52,10,-1
583,53,10,-1
584,53,18,-1
585,53,5,-1
586,53,1,1
587,53,19,1
588,53,9,1
589,53,13,-1
590,53,7,-1
591,53,8,1
592,53,12,-1
593,53,16,1
594,54,4,-1
595,54,14,-1
596,54,9,-1
597,54,18,1
598,55,7,1
599,55,6,-1
600,55,9,1
601,55,1,-1
602,55,17,-1
603,55,8,1
604,55,16,1
605,55,12,-1
606,55,18,-1
607,55,4,1
608,55,13,1
609,55,20,-1
610,55,3,1
611,55,2,1
612,55,5,1
613,55,19,1
614,55,11,1
615,55,14,-1
616,55,10,1
617,55,15,1
618,56,3,1
619,56,15,-1
620,56,16,-1
621,56,19,-1
622,56,20,-1
623,56,6,1
624,56,9,1
625,56,2,-1
626,56,5,1
627,56,10,-1
628,56,18,-1
629,57,8,1
630,57,17,1
631,57,3,1
632,57,9,-1
633,57,12,-1
634,57,20,-1
635,57,10,1
636,57,14,1
637,57,18,1
638,57,2,1
639,57,15,1
640,57,7,1
641,57,16,1
642,58,13,-1
643,58,15,-1
644,58,19,-1
645,58,5,1
646,58,7,1
647,58,9,1
648,58,1,-1
649,58,11,-1
650,58,8,1
651,58,4,-1
652,59,15,-1
653,59,18,-1
654,59,13,1
655,59,16,-1
656,59,12,1
657,59,5,-1
658,59,20,1
659,59,14,1
660,59,6,1
661,59,11,1
662,59,8,-1
663,59,1,-1
664,59,3,-1
665,59,4,-1
666,59,10,-1
667,59,7,1
668,59,17,1
669,59,2,1
670,60,9,1
671,60,8,-1
672,60,7,-1
673,60,5,1
674,60,6,1
675,60,15,1
676,60,14,1
677,60,12,1
678,60,20,-1
679,60,4,1
680,61,19,1
681,61,7,1
682,61,20,1
683,61,6,-1
684,61,1,1
685,61,3,-1
686,61,17,1
687,61,18,-1
688,61,15,1
689,61,13,1
690,61,16,1
691,61,9,-1
692,61,2,-1
693,61,5,1
694,61,4,-1
695,61,11,-1
696,61,10,-1
697,62,7,1
698,62,16,-1
699,62,9,-1
700,62,13,1
701,62,10,1
702,62,18,-1
703,63,9,-1
704,63,2,1
705,63,10,-1
706,63,7,1
707,63,20,-1
708,63,6,1
709,63,16,1
710,63,8,-1
711,63,11,1
712,63,13,-1
713,64,8,1
714,64,5,1
715,64,20,-1
716,64,1,1
717,64,17,1
718,64,15,1
719,64,10,1
720,64,14,-1
721,64,19,-1
722,64,6,1
723,64,3,-1
724,65,8,-1
725,65,6,1
726,65,5,-1
727,65,15,1
728,65,19,-1
729,65,4,1
730,65,11,-1
731,65,9,1
732,65,20,1
733,65,3,-1
734,65,18,1
735,65,17,1
736,66,11,-1
737,66,12,1
738,66,2,1
739,66,19,-1
740,66,1,-1
741,66,17,-1
742,66,4,-1
743,66,16,-1
744,66,3,-1
745,66,10,-1
746,66,7,-1
747,66,9,1
748,66,6,1
749,67,1,-1
750,67,11,1
751,67,5,-1
752,67,10,1
753,67,20,1
754,67,7,1
755,67,17,-1
756,67,8,-1
757,67,3,1
758,67,9,1
759,68,14,-1
760,68,17,-1
761,68,4,-1
762,68,19,-1
763,68,12,-1
764,68,20,1
765,68,15,1
766,68,16,-1
767,68,5,-1
768,68,18,1
769,69,4,-1
770,69,10,1
771,70,16,1
772,70,20,-1
773,70,18,-1
774,70,11,1
775,70,10,1
776,70,2,-1
777,70,13,1
778,70,14,-1
779,70,4,1
780,70,8,1
781,70,1,-1
782,71,6,-1
783,71,1,1
784,71,20,1
785,71,13,-1
786,71,15,1
787,71,18,1
788,71,16,-1
789,72,8,1
790,73,12,-1
791,73,7,1
792,73,13,1
793,73,19,-1
794,73,6,1
795,73,20,1
796,73,18,1
797,73,1,-1
798,73,5,-1
799,73,14,1
800,73,17,1
801,74,15,1
802,74,1,-1
803,74,19,1
804,74,8,-1
805,74,17,1
806,74,16,1
807,74,9,-1
808,74,2,1
809,74,14,1
810,74,10,-1
811,75,11,1
812,75,19,-1
813,75,9,-1
814,75,15,1
815,75,5,-1
816,75,20,1
817,75,6,-1
818,75,1,-1
819,75,13,1
820,75,4,-1
821,75,16,1
822,75,14,1
823,75,17,-1
824,75,2,-1
825,75,12,-1
826,75,8,1
827,75,18,1
828,75,3,-1
829,75,10,-1
830,76,9,1
831,76,7,1
832,76,18,-1
833,76,4,-1
834,76,1,1
835,76,13,-1
836,76,20,1
837,76,14,-1
838,76,10,-1
839,76,8,1
840,76,17,1
841,77,2,-1
842,78,13,-1
843,78,9,-1
844,78,15,1
845,79,11,-1
846,79,2,1
847,79,7,1
848,79,14,-1
849,79,18,1
850,79,8,1
851,79,13,-1
852,79,3,-1
853,80,6,1
854,80,12,1
855,80,14,-1
856,80,3,-1
857,80,16,-1
858,80,9,1
859,80,1,1
860,80,13,-1
861,80,19,-1
862,80,18,-1
863,80,10,-1
864,80,8,-1
865,80,2,-1
866,80,4,-1
867,80,5,1
868,81,16,1
869,81,18,1
870,81,11,-1
871,81,13,1
872,81,8,1
873,81,12,-1
874,81,17,-1
875,81,15,1
876,81,19,1
877,81,3,1
878,81,6,-1
879,81,20,1
880,81,1,1
881,81,5,-1
882,81,4,-1
883,82,16,-1
884,82,15,1
885,82,2,1
886,82,6,1
887,82,20,1
888,82,19,1
889,82,1,1
890,82,12,1
891,82,4,1
892,82,8,1
893,82,11,-1
894,82,7,-1
895,82,5,-1
896,82,3,1
897,83,1,1
898,83,5,1
899,83,11,-1
900,83,13,-1
901,83,17,1
902,83,14,-1
903,83,19,-1
904,83,18,1
905,83,9,1
906,83,15,1
907,83,16,-1
908,83,3,1
909,84,7,1
910,84,13,-1
911,84,19,1
912,84,18,1
913,84,11,-1
914,85,10,1
915,85,18,-1
916,85,20,-1
917,85,3,-1
918,85,2,-1
919,85,8,1
920,85,15,1
921,85,13,-1
922,85,16,1
923,85,1,1
924,85,6,1
925,85,11,-1
926,85,17,1
927,85,4,-1
928,85,5,1
929,86,7,1
930,86,8,-1
931,86,18,-1
932,87,11,1
933,87,7,-1
934,87,10,1
935,87,14,-1
936,87,6,1
937,88,9,1
938,88,13,1
939,88,3,-1
940,88,6,1
941,88,14,-1
942,88,12,1
943,88,19,-1
944,88,5,-1
945,88,4,1
946,88,18,-1
947,88,17,1
948,88,8,-1
949,88,15,-1
950,88,20,1
951,88,16,-1
952,88,7,1
953,88,2,1
954,89,16,1
955,89,5,1
956,89,7,1
957,89,14,1
958,89,2,1
959,89,8,1
960,89,12,1
961,89,17,1
962,89,1,1
963,89,18,-1
964,89,4,-1
965,89,9,-1
966,89,20,-1
967,90,17,-1
968,90,8,-1
969,90,10,1
970,90,3,-1
971,90,18,-1
972,90,14,1
973,90,5,-1
974,91,13,-1
975,91,16,1
976,91,18,1
977,91,5,-1
978,91,15,1
979,91,4,-1
980,91,7,1
981,91,2,-1
982,91,8,-1
983,91,14,-1
984,91,17,1
985,91,19,-1
986,91,11,1
987,91,20,1
988,91,3,-1
989,91,1,1
990,91,10,1
991,91,6,-1
992,91,12,1
993,91,9,1
994,92,7,-1
995,92,18,1
996,92,14,-1
997,92,4,1
998,92,20,1
999,92,8,-1
1000,92,5,-1
1001,92,6,-1
1002,92,17,1
1003,92,12,1
1004,92,11,-1
1005,92,1,1
1006,92,19,1
1007,93,12,-1
1008,93,14,1
1009,93,9,1
1010,93,18,-1
1011,93,8,1
1012,93,11,-1
1013,93,3,1
1014,94,7,1
1015,94,14,-1
1016,94,20,1
1017,94,10,-1
1018,94,8,1
1019,94,19,1
1020,94,12,1
1021,94,4,-1
1022,94,16,1
1023,95,19,-1
1024,96,16,-1
1025,96,12,-1
1026,96,6,1
1027,96,10,1
1028,96,1,1
1029,97,8,-1
1030,97,15,1
1031,97,4,1
1032,97,16,-1
1033,97,11,-1
1034,97,3,1
1035,97,19,1
1036,97,7,-1
1037,97,20,1
1038,97,12,-1
1039,97,18,-1
1040,97,13,1
1041,97,6,-1
1042,98,9,1
1043,98,2,-1
1044,98,5,-1
1045,98,19,1
1046,98,13,-1
1047,98,17,1
1048,98,4,-1
1049,98,1,1
1050,98,14,1
1051,98,8,1
1052,98,18,-1
1053,98,10,-1
1054,99,17,1
1055,99,14,1
1056,99,5,-1
1057,99,15,1
1058,99,13,-1
1059,99,11,-1
1060,99,12,1
1061,99,18,1
1062,99,3,1
1063,99,2,1
1064,99,8,1
1065,99,4,1
1066,99,9,1
1067,99,6,-1
1068,100,10,-1
